city,country,latitude,temp,humidity,clouds,winds
gigante,co,2.39,87.8,55,75,2.24
tahlequah,us,35.92,66.2,45,40,16.11
marsa matruh,eg,31.35,60.8,77,20,8.05
indianola,us,40.24,59,33,40,19.46
at-bashi,kg,41.17,38.79,49,15,3.42
tomatlan,mx,19.93,81.05,62,3,12.66
kununurra,au,-15.77,82.4,65,9,3.36
egvekinot,ru,66.32,14.88,72,0,6.24
waterloo,us,42.5,51.8,61,90,20.8
nenjiang,cn,49.17,38.43,24,0,7.83
namatanai,pg,-3.66,77.74,85,100,2.71
ugoofaaru,mv,5.67,84.44,75,100,7.65
mnogovershinnyy,ru,53.94,33.39,96,100,7.49
agirish,ru,61.92,27.74,93,4,7.9
qiongshan,cn,20.01,80.6,78,0,8.95
colac,au,-38.34,61,76,15,3
lazarev,ru,52.23,37.29,77,100,6.82
sao gabriel da cachoeira,br,-0.13,75.96,95,86,2.51
carman,ca,49.51,61,26,1,10.29
zhigansk,ru,66.77,15.33,88,60,11.23
sao felix do xingu,br,-6.64,74.19,93,67,2.98
maiduguri,ng,11.84,86.06,12,12,9.17
rawson,ar,-43.3,59.24,40,0,8.37
richards bay,za,-28.77,75.02,82,17,11.95
rio grande,br,-32.03,63.5,87,67,3.09
wana,pk,32.31,44.46,70,0,4.52
poya,nc,-21.35,81.09,75,92,13.62
poronaysk,ru,49.22,36.34,79,94,10.94
kupang,id,-10.16,82.4,74,20,8.05
nerchinskiy zavod,ru,51.31,36.05,21,35,9.15
jashpurnagar,in,22.88,68.33,53,5,2.91
kysyl-syr,ru,63.9,20.68,85,76,9.6
cabedelo,br,-6.97,82.4,78,20,4.7
savannakhet,la,16.57,87.28,59,38,9.71
cravo norte,co,6.3,78.98,81,95,5.64
durango,us,37.28,73.4,9,1,13.87
ambovombe,mg,-25.18,75.92,77,90,23.42
casablanca,ma,33.6,60.01,100,40,4.7
mucuri,br,-18.08,77.16,90,74,4.34
osmena,ph,12.17,80.39,77,40,10.8
superior,us,47.19,66.2,61,90,9.17
venado tuerto,ar,-33.75,69.01,41,74,8.01
ola,ru,59.58,31.26,86,96,4.61
weyburn,ca,49.67,57.99,38,14,5.99
tomigusuku,jp,26.18,73.4,64,75,5.82
dunedin,nz,-45.87,59,62,0,14
llanes,es,43.42,61,99,87,7.99
gbarnga,lr,7,75.83,96,100,6.53
dongli,cn,24.18,68,94,90,2.24
adrar,dz,27.87,82.4,5,100,16.11
soyo,ao,-6.13,81.93,87,100,10.07
denia,es,38.84,57.99,91,100,6.78
urucui,br,-7.23,78.1,79,83,2.64
cobija,bo,-11.03,78.8,94,75,6.93
morehead,pg,-8.71,84.18,66,62,7.36
nushki,pk,29.55,67.52,28,0,4.52
bardiyah,ly,31.76,60.39,76,0,10.6
ladario,br,-19,86,70,40,3.36
grand-lahou,ci,5.24,78.21,93,80,2.93
vernon,us,34.15,71.01,28,90,18.34
la palma,pa,8.4,82.28,84,71,1.28
livingston,us,30.71,68,88,40,11.41
las choapas,mx,17.91,84.2,70,5,11.41
abu kamal,sy,34.45,61.11,63,41,4.29
mwandiga,tz,-4.84,75.72,72,62,5.75
chara,ru,56.9,18.45,61,68,5.68
krasnogorsk,ru,55.82,42.01,64,0,8.95
macau,br,-5.11,78.51,84,100,9.75
blackwater,au,-23.58,77.74,47,0,13.98
satipo,pe,-11.26,33.23,99,100,3.94
cardoso,br,-20.08,73.08,74,1,4.52
torbat-e jam,ir,35.24,55.74,68,81,6.17
vanderhoof,ca,54.02,47.39,58,100,7.92
cariamanga,ec,-4.33,75.2,69,75,16.11
seddon,nz,-41.67,64,67,41,4.99
yueyang,cn,29.36,74.79,73,0,5.03
kirakira,sb,-10.46,84.4,70,85,7.11
zaysan,kz,47.47,26.84,54,30,5.53
sayville,us,40.74,60.01,87,75,6.93
batagay-alyta,ru,67.8,5.56,67,40,2.24
kharod,in,21.55,78.8,78,0,13.65
ponta delgada,pt,37.73,60.8,87,75,2.24
fort dix,us,40.03,78.8,72,1,11.41
jand,pk,33.43,67.8,54,0,2.71
thinadhoo,mv,0.53,85.3,70,74,10.47
stony plain,ca,53.53,62.01,39,20,8.05
saint-francois,gp,16.25,77,78,75,6.93
launceston,au,-41.43,54,66,0,8.05
poum,nc,-20.23,81.43,77,98,12.06
tezu,in,27.93,67.77,56,1,3.98
alfreton,gb,53.1,53.01,87,0,6.93
malanje,ao,-9.54,66.15,90,100,2.51
huanren,cn,41.26,48.53,21,100,2.44
tromso,no,69.65,39.2,74,75,6.93
soe,id,-9.86,79.13,68,0,8.95
xingyi,cn,24.19,60.59,51,0,11.52
general roca,ar,-39.03,68,60,0,3.36
coquimbo,cl,-29.95,57.2,87,75,6.93
henties bay,na,-22.12,59.33,75,0,8.16
santa clara,mx,21.37,86.47,64,5,9.64
hailar,cn,49.2,39.04,23,0,12.93
svit,sk,49.06,39,74,0,6.93
auch,fr,43.65,60.01,51,0,3.36
aswan,eg,24.09,66.2,29,0,6.93
megion,ru,61.04,19.4,92,90,8.95
palu,id,-0.9,84.65,63,35,1.45
am timan,td,11.04,92.84,17,41,4.97
manapparai,in,10.61,86,74,20,3.36
ratnagiri,in,16.98,82.53,76,13,19.57
hay river,ca,60.82,41,75,75,10.29
trojes,hn,14.08,80.26,40,36,3.49
kimbe,pg,-5.56,84.22,74,99,1.97
inta,ru,66.04,31.03,92,100,12.48
merrill,us,42.03,77,27,1,4.7
zemio,cf,5.02,75.17,66,82,2.04
isla mujeres,mx,21.23,84.2,70,40,19.46
tarata,pe,-17.47,66.2,68,20,9.17
itaituba,br,-4.26,76.59,93,77,2.24
odesskoye,ru,54.21,27.36,42,87,5.55
sabya,sa,17.15,87.8,70,0,4.7
gurjaani,ge,41.75,46.4,75,75,17.22
kungurtug,ru,50.6,12.85,53,98,10.67
kandrian,pg,-6.21,79.97,87,88,4.97
korla,cn,41.76,46.99,92,100,7
vanavara,ru,60.35,19.78,79,95,14.56
kiruna,se,67.86,32,76,21,2.24
virginia beach,us,36.85,77,56,1,12.75
cardiff,gb,51.48,57.2,62,100,9.17
saint-joseph,re,-21.37,77,65,0,8.05
manta,ec,-0.95,84.2,66,20,9.17
omsukchan,ru,62.53,26.48,76,91,6.49
bulgan,mn,48.81,48.74,28,55,14.09
edson,ca,53.59,59,66,90,6.93
cheremukhovo,ru,56.23,31.21,50,0,3.58
sucre,bo,-19.05,62.6,55,75,5.82
krutinka,ru,56.01,27.18,48,12,6.76
torfyanoy,ru,58.49,31.35,79,79,3.22
harnosand,se,62.63,37.99,64,98,3.36
carolina,br,-7.33,80.48,72,27,1.03
flinders,au,-34.58,69.01,77,90,2.24
vezirkopru,tr,41.14,43,93,90,2.24
jalu,ly,29.03,68.74,39,0,14.56
taormina,it,37.85,60.01,93,0,2.24
ishim,ru,56.11,27.29,48,35,5.82
rongcheng,cn,37.16,48.18,57,71,11.48
chabahar,ir,25.29,76.82,53,0,2.26
santa barbara,mx,27.12,91.29,11,36,10.92
honolulu,us,21.3,82,47,40,11.41
mercedes,ar,-29.18,69.66,61,0,5.46
ko samui,th,9.54,84.2,83,20,6.42
deputatskiy,ru,69.3,3.85,85,24,4.56
gwadar,pk,25.12,77.72,77,0,1.54
victor harbor,au,-35.55,82,25,0,11.41
churu,in,28.3,74.61,51,0,6.73
caluquembe,ao,-13.78,60.98,92,44,3.98
gdov,ru,58.74,36.92,88,23,1.19
kutum,sd,14.2,73.91,14,26,7.67
kota belud,my,6.35,84.2,79,75,3.36
pringsewu,id,-5.36,75.9,92,96,2.35
valparaiso,mx,22.77,78.73,8,0,13.67
olutanga,ph,7.31,82.26,75,61,3.47
muli,mv,2.92,85.07,71,95,8.66
gladstone,au,-23.84,81,57,0,16.11
amapa,br,-1.83,78.26,87,39,2.62
rassvet,ru,49.11,33.89,56,2,6.17
bokaa,bw,-24.43,64.4,77,0,4.7
jiuquan,cn,39.73,54.57,51,100,6.91
trelew,ar,-43.25,59.24,40,0,8.37
qinzhou,cn,21.96,80.42,86,48,12.44
kumbo,cm,6.21,67.91,72,87,4.85
abha,sa,18.22,66.2,77,0,3.62
norheimsund,no,60.37,46.99,54,0,6.93
alyangula,au,-13.85,84.2,74,21,4.7
nizwa,om,22.93,72.75,27,0,3.09
orsha,by,54.51,39.56,70,0,6.71
aksarayskiy,ru,46.79,30.2,74,7,2.24
loviisa,fi,60.46,37.4,69,0,1.12
havre-saint-pierre,ca,50.23,35.6,74,75,4.7
lampa,pe,-15.36,55.4,62,75,9.17
sfantu gheorghe,ro,44.65,48.99,93,79,4.7
